from;to;grp_lab;grp_no_ties
grp_noman_man_tie_alter = male-0;male-noman-female-0-male-0-man-female-0-male-0;male-noman-female-0-male-0-man-female-0-male-0;0
grp_noman_man_tie_alter = male-noman-female-0-male-0-man-female-0-male-1;male-noman-female-0-male-0-man-female-0-male-1;male-noman-female-0-male-0-man-female-0-male-1;1
grp_noman_man_tie_alter = male-noman-female-0-male-0-man-female-1-male-0;male-noman-female-0-male-0-man-female-1-male-0;male-noman-female-0-male-0-man-female-1-male-0;1
grp_noman_man_tie_alter = male-noman-female-0-male-0-man-female-1-male-1;male-noman-female-0-male-0-man-female-1-male-1;male-noman-female-0-male-0-man-female-1-male-1;2
grp_noman_man_tie_alter = male-noman-female-0-male-1-man-female-0-male-0;male-noman-female-0-male-1-man-female-0-male-0;male-noman-female-0-male-1-man-female-0-male-0;1
grp_noman_man_tie_alter = male-noman-female-0-male-1-man-female-0-male-1;male-noman-female-0-male-1-man-female-0-male-1;male-noman-female-0-male-1-man-female-0-male-1;2
grp_noman_man_tie_alter = male-noman-female-0-male-1-man-female-1-male-0;male-noman-female-0-male-1-man-female-1-male-0;male-noman-female-0-male-1-man-female-1-male-0;2
grp_noman_man_tie_alter = male-noman-female-0-male-1-man-female-1-male-1;male-noman-female-0-male-1-man-female-1-male-1;male-noman-female-0-male-1-man-female-1-male-1;3
grp_noman_man_tie_alter = male-noman-female-1-male-0-man-female-0-male-0;male-noman-female-1-male-0-man-female-0-male-0;male-noman-female-1-male-0-man-female-0-male-0;1
grp_noman_man_tie_alter = male-noman-female-1-male-0-man-female-0-male-1;male-noman-female-1-male-0-man-female-0-male-1;male-noman-female-1-male-0-man-female-0-male-1;2
grp_noman_man_tie_alter = male-noman-female-1-male-0-man-female-1-male-0;male-noman-female-1-male-0-man-female-1-male-0;male-noman-female-1-male-0-man-female-1-male-0;2
grp_noman_man_tie_alter = male-noman-female-1-male-0-man-female-1-male-1;male-noman-female-1-male-0-man-female-1-male-1;male-noman-female-1-male-0-man-female-1-male-1;3
grp_noman_man_tie_alter = male-noman-female-1-male-1-man-female-0-male-0;male-noman-female-1-male-1-man-female-0-male-0;male-noman-female-1-male-1-man-female-0-male-0;2
grp_noman_man_tie_alter = male-noman-female-1-male-1-man-female-0-male-1;male-noman-female-1-male-1-man-female-0-male-1;male-noman-female-1-male-1-man-female-0-male-1;3
grp_noman_man_tie_alter = male-noman-female-1-male-1-man-female-1-male-0;male-noman-female-1-male-1-man-female-1-male-0;male-noman-female-1-male-1-man-female-1-male-0;3
grp_noman_man_tie_alter = male-1;male-noman-female-1-male-1-man-female-1-male-1;male-noman-female-1-male-1-man-female-1-male-1;4
grp_noman_man_tie_alter = female-0;female-noman-female-0-male-0-man-female-0-male-0;female-noman-female-0-male-0-man-female-0-male-0;0
grp_noman_man_tie_alter = female-noman-female-0-male-0-man-female-0-male-1;female-noman-female-0-male-0-man-female-0-male-1;female-noman-female-0-male-0-man-female-0-male-1;1
grp_noman_man_tie_alter = female-noman-female-0-male-0-man-female-1-male-0;female-noman-female-0-male-0-man-female-1-male-0;female-noman-female-0-male-0-man-female-1-male-0;1
grp_noman_man_tie_alter = female-noman-female-0-male-0-man-female-1-male-1;female-noman-female-0-male-0-man-female-1-male-1;female-noman-female-0-male-0-man-female-1-male-1;2
grp_noman_man_tie_alter = female-noman-female-0-male-1-man-female-0-male-0;female-noman-female-0-male-1-man-female-0-male-0;female-noman-female-0-male-1-man-female-0-male-0;1
grp_noman_man_tie_alter = female-noman-female-0-male-1-man-female-0-male-1;female-noman-female-0-male-1-man-female-0-male-1;female-noman-female-0-male-1-man-female-0-male-1;2
grp_noman_man_tie_alter = female-noman-female-0-male-1-man-female-1-male-0;female-noman-female-0-male-1-man-female-1-male-0;female-noman-female-0-male-1-man-female-1-male-0;2
grp_noman_man_tie_alter = female-noman-female-0-male-1-man-female-1-male-1;female-noman-female-0-male-1-man-female-1-male-1;female-noman-female-0-male-1-man-female-1-male-1;3
grp_noman_man_tie_alter = female-noman-female-1-male-0-man-female-0-male-0;female-noman-female-1-male-0-man-female-0-male-0;female-noman-female-1-male-0-man-female-0-male-0;1
grp_noman_man_tie_alter = female-noman-female-1-male-0-man-female-0-male-1;female-noman-female-1-male-0-man-female-0-male-1;female-noman-female-1-male-0-man-female-0-male-1;2
grp_noman_man_tie_alter = female-noman-female-1-male-0-man-female-1-male-0;female-noman-female-1-male-0-man-female-1-male-0;female-noman-female-1-male-0-man-female-1-male-0;2
grp_noman_man_tie_alter = female-noman-female-1-male-0-man-female-1-male-1;female-noman-female-1-male-0-man-female-1-male-1;female-noman-female-1-male-0-man-female-1-male-1;3
grp_noman_man_tie_alter = female-noman-female-1-male-1-man-female-0-male-0;female-noman-female-1-male-1-man-female-0-male-0;female-noman-female-1-male-1-man-female-0-male-0;2
grp_noman_man_tie_alter = female-noman-female-1-male-1-man-female-0-male-1;female-noman-female-1-male-1-man-female-0-male-1;female-noman-female-1-male-1-man-female-0-male-1;3
grp_noman_man_tie_alter = female-noman-female-1-male-1-man-female-1-male-0;female-noman-female-1-male-1-man-female-1-male-0;female-noman-female-1-male-1-man-female-1-male-0;3
grp_noman_man_tie_alter = female-1;female-noman-female-1-male-1-man-female-1-male-1;female-noman-female-1-male-1-man-female-1-male-1;4
